id,name,message,story,link,description,created_time,likes,shares,comments
112784955679_10155036817085680,"Timeline Photos","US-Präsident Donald Trump hat sich mit Arnold Schwarzenegger angelegt, weil Trump früher bessere Einschaltquoten für eine Reality-Show hatte. Doch die Retourkutsche via Twitter ließ nicht lange auf sich warten.",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155036817085680/?type=3,,Fri Feb 03 19:19:45 CET 2017,15422,1998,458
112784955679_10155036610960680,"Experiment des dänischen Senders TV2","Menschen in Schubladen zu stecken, geht schnell. Doch haben wir nicht mehr gemeinsam, als man auf den ersten Blick sieht? Ein Experiment:",,https://www.facebook.com/ZDFheute/videos/10155036610960680/,,Fri Feb 03 18:32:00 CET 2017,919,160,48
112784955679_10155036527240680,"Timeline Photos","Die USA verhängen nach einem iranischen Raketentest neue Sanktionen gegen den Iran. Zuvor hatte US-Präsident Donald Trump eine Warnung an das Land getwittert.",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155036527240680/?type=3,,Fri Feb 03 17:50:08 CET 2017,428,102,270
112784955679_10155036445375680,"Timeline Photos","Wegen des jüngsten iranischen Raketentests haben die USA neue Sanktionen gegen den Iran verhängt. Die Strafmaßnahmen richten sich gegen insgesamt 25 Firmen und Einzelpersonen, die an dem Raketenprogramm beteiligt sind.",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155036445375680/?type=3,,Fri Feb 03 17:21:11 CET 2017,85,9,82
112784955679_10155036369595680,"Regierungskrise in Rumänien","Hunderttausende Rumänen wollen ihre Regierung von einem umstrittenen Dekret abbringen. Die plant nämlich, die Strafverfolgung bei Korruptionsdelikten einzuschränken. Außerdem will sie die Antikorruptionseinheit der Staatsanwaltschaft abschaffen. Und das ausgerechnet im wohl korruptesten Land der EU.",,https://www.facebook.com/ZDFheute/videos/10155036369595680/,,Fri Feb 03 16:50:00 CET 2017,554,913,79
112784955679_10155036261200680,"Timeline Photos","Nach wie vor ist die Zahl der Übergriffe auf Asylunterkünfte hoch. Nach Angaben des Bundesinnenministeriums wurden 970 Straftaten gegen Asylbewerberunterkünfte registriert.",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155036261200680/?type=3,,Fri Feb 03 16:08:35 CET 2017,169,189,407
112784955679_10155036211710680,"Top-Beraterin von Trump: Conway erfindet Anschlag","Kellyanne Conway behauptet zwei Iraker hätten vor einigen Jahren ein ''Massaker'' in Bowling Green im Staat Kentucky begangen. Doch das hat nie stattgefunden. Mit dem erfundenen Anschlag wollte sie das Einreiseverbote für Flüchtlinge und Bürger mehrerer muslimischer Staaten rechtfertigen.",,http://www.heute.de/alternative-fakten-trumps-top-beraterin-conway-erfindet-anschlag-46476104.html,,Fri Feb 03 15:21:12 CET 2017,476,657,536
112784955679_10155036086780680,"Augenzeugenbericht: Attacke am Louvre","Ein Augenzeuge berichtet, wie er die Situation rund um den Louvre während der Macheten-Attacke in Paris wahrgenommen hat.",,https://www.facebook.com/ZDFheute/videos/10155036086780680/,,Fri Feb 03 14:25:26 CET 2017,57,14,35
112784955679_10155035972385680,"Timeline Photos","Laut Unicef starben mehr als 1.354 Flüchtlinge zwischen November 2016 und Ende Januar auf ihrem Weg über das Mitelmeer nach Europa.",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155035972385680/?type=3,,Fri Feb 03 13:28:00 CET 2017,154,163,249
112784955679_10155035837760680,"Louvre-Zwischenfall: Was wir bisher wissen","Gegen 10 Uhr hat ein Mann in der Nähe des Louvre versucht, Soldaten mit einer Machete zu attackieren. Ein Überblick über die Geschehnisse in Paris:",,https://www.facebook.com/ZDFheute/videos/10155035837760680/,,Fri Feb 03 12:21:37 CET 2017,161,59,92
112784955679_10155035827145680,"Louvre: Besucher werden in Sicherheit gebracht","Zwischenfall am Pariser Louvre: Was wir bislang wissen, fasst ZDF-Korrespondentin Christel Haas zusammen.  Aktueller Stand zur Attacke: http://www.heute.de/soldat-schiesst-auf-angreifer-am-louvre-46472050.html",,https://www.facebook.com/ZDFheute/videos/10155035827145680/,,Fri Feb 03 12:07:15 CET 2017,62,28,77
112784955679_10155035713505680,"Paris: Soldat schießt auf Angreifer am Louvre","Schüsse in der Nähe des weltberühmten Pariser Louvre-Museum: Ein Soldat hat auf einen Mann geschossen, der ihn mit einer Machete angreifen wollte. Wegen der Anschlagsgefahr patrouillieren in der französischen Hauptstadt an vielen Orten Soldaten, unter anderem vor Touristenattraktionen.",,http://www.heute.de/soldat-schiesst-auf-angreifer-am-louvre-46472050.html,,Fri Feb 03 10:52:37 CET 2017,139,13,62
112784955679_10155035596535680,"EU-Gipfel in Malta: Vereint in Verzweiflung?","Es geht um Alles oder Nichts - beim zweiten ''Post-Brexit-Nachdenk-Gipfel'' über eine EU der 27. Schon das Einladungsschreiben von Ratspräsident Tusk klingt dramatisch. Man sei auf das Gefährlichste herausgefordert von China, Russland und Amerika, von Populisten und Extremisten.",,http://www.heute.de/eu-gipfel-in-malta-zu-fluechtlingspolitik-trump-und-brexit-46465720.html,,Fri Feb 03 10:07:32 CET 2017,64,11,61
112784955679_10155035424595680,"Deal zwischen Italien und Libyen?","Italien soll der libyschen Regierung Hilfe zugesagt haben. Details zu dem Deal sind noch nicht bekannt, erklärt ZDF-Korrespondentin Anne Gellinek.",,https://www.facebook.com/ZDFheute/videos/10155035424595680/,,Fri Feb 03 08:41:56 CET 2017,45,7,20
112784955679_10155035379625680,"Gabriel in Washington: ''New Kids'' mit Gemeinsamkeiten","''New Kids on the Block'': So bezeichnet Außenminister Gabriel sich und seinen US-Kollegen Tillerson. Beide sind erst seit Kurzem im Amt, verstehen sich beim ersten Treffen überraschend gut. Er sei auf ein ''großes Interesse'' an den transatlantischen Beziehungen gestoßen, so der Bundesaußenminister.",,http://www.heute.de/aussenminister-in-washington-sigmar-gabriel-erinnert-amerika-an-seine-werte-46470700.html,,Fri Feb 03 08:23:51 CET 2017,62,7,49
112784955679_10155035345020680,"Wetteraussichten: Die Sonne macht sich rar","Wetteraussichten: Die Sonne macht sich heute rar, die Höchsttemperaturen liegen zwischen 2 und 12 Grad. Am Wochenende wird es kälter.",,https://www.facebook.com/ZDFheute/videos/10155035345020680/,,Fri Feb 03 08:01:41 CET 2017,38,1,3
112784955679_10155035256235680,"USA: Russland-Sanktionen bleiben - Distanz zu Israel","Eigentlich will US-Präsident Trump das Verhältnis zu Russland verbessern. Israel sagte er uneingeschränkte Unterstützung zu. Doch nun überraschen zwei außenpolitische Aussagen der USA: Die Russland-Sanktionen im Ukraine-Konflikt bleiben. Der Bau neuer jüdischer Siedlungen sei ''vielleicht nicht hilfreich''.",,http://www.heute.de/usa-russland-sanktionen-bleiben-weisses-haus-auf-distanz-zu-neuen-juedischen-siedlungen-israels-46470262.html,,Fri Feb 03 07:27:00 CET 2017,101,18,42
112784955679_10155035218675680,"US-Entertainerin Gayle Tufts: Frust-Essen, sich Trump schön trinken","Über Donald Trumps Dekrete ist US-Entertainerin Gayle Tufts entsetzt. Sie will in ihren Comedy-Shows Humor als Waffe nutzen, um Trump zu kritisieren. Der globale Widerstand macht ihr Hoffnung, sagt Tufts im heute.de-Interview - und schildert, wie ihre amerikanischen Freunde nun zu Frust-Essen neigen.",,http://www.heute.de/us-entertainerin-gayle-tufts-im-heute.de-interview-46469666.html,,Fri Feb 03 06:54:39 CET 2017,63,6,47
